2/20/49,Houston Open,10000,272,-16,Johnny Palmer,,2000,Pine Forest CC, Houston, TX ,,72,6510,,
5/11/47,Houston Open,10000,277,,Bobby Locke,,2000,Memorial Park GC, Houston, TX ,,71,7021,,
5/12/46,Houston Open,10000,274,,Byron Nelson,,2000,River Oaks CC, Houston, TX ,,71,6588,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
11/20/22,The RSM Classic,8100000,263,-19,Adam Svensson,,1458000,Sea Island Golf Club (Seaside Course), St. Simons Island, GA ,,70,7005,,
11/20/22,The RSM Classic,NULL,NULL,,NULL,,NULL,Sea Island Golf Club (Plantation Course), St. Simons Island, GA ,,72,7060,,
11/21/21,The RSM Classic,7200000,260,-22,Talor Gooch,,1296000,Sea Island Resort (Seaside), St. Simons Island, GA ,,70,7005,,
11/21/21,The RSM Classic,NULL,NULL,,NULL,,NULL,Sea Island Resort (Plantation), St. Simons Island, GA ,,72,7060,,
11/22/20,The RSM Classic,6600000,263,-19,Robert Streb ,p,1188000,Sea Island Resort (Seaside), St. Simons Island, GA ,,70,7005,,
11/22/20,The RSM Classic,NULL,NULL,,NULL,,NULL,Sea Island Resort (Plantation), St. Simons Island, GA ,,72,7060,,
11/24/19,The RSM Classic,6600000,263,-19,Tyler Duncan ,p,1188000,Sea Island Resort (Seaside), St. Simons Island, GA ,,70,7005,,
11/24/19,The RSM Classic,NULL,NULL,,NULL,,NULL,Sea Island Resort (Plantation), St. Simons Island, GA ,,72,7060,,
11/18/18,The RSM Classic,6400000,263,-19,Charles Howell III ,p,1152000,Sea Island Resort (Seaside), St. Simons Island, GA ,,70,7005,,
11/18/18,The RSM Classic,NULL,NULL,,NULL,,NULL,Sea Island Resort (Plantation), St. Simons Island, GA ,,72,6907,,
11/19/17,The RSM Classic,6200000,261,-21,Austin Cook,,1116000,Sea Island Resort (Seaside), St. Simons Island, GA ,,70,7005,,
11/19/17,The RSM Classic,NULL,NULL,,NULL,,NULL,Sea Island Resort (Plantation), St. Simons Island, GA ,,72,7058,,
11/20/16,The RSM Classic,6000000,265,-17,Mackenzie Hughes ,p,1080000,Sea Island Resort (Seaside), St. Simons Island, GA ,,70,7005,,
11/20/16,The RSM Classic,NULL,NULL,,NULL,,NULL,Sea Island Resort (Plantation), St. Simons Island, GA ,,72,7058,,
11/22/15,The RSM Classic,5700000,260,-22,Kevin Kisner,,1026000,Sea Island Resort (Seaside), St. Simons Island, GA ,,70,7005,,
11/22/15,The RSM Classic,NULL,NULL,,NULL,,NULL,Sea Island Resort (Plantation), St. Simons Island, GA ,,72,7058,,
10/26/14,The McGladrey Classic,5600000,266,-14,Robert Streb ,p,1008000,Sea Island Resort (Seaside), St. Simons Island, GA ,,70,7005,,
11/10/13,The McGladrey Classic,5500000,266,-14,Chris Kirk,,990000,Sea Island Resort (Seaside), St. Simons Island, GA ,,70,7005,,
10/21/12,The McGladrey Classic,4000000,264,-16,Tommy Gainey,,720000,Sea Island Resort (Seaside), St. Simons Island, GA ,,70,7005,,
10/16/11,The McGladrey Classic,4000000,265,-15,Ben Crane ,p,720000,Sea Island Resort (Seaside), St. Simons Island, GA ,,70,7005,,
10/10/10,The McGladrey Classic,4000000,266,-14,Heath Slocum,,720000,Sea Island Resort (Seaside), St. Simons Island, GA ,,70,7005,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1/8/23,Sentry Tournament of Champions,15000000,265,-27,Jon Rahm,,2700000,Plantation Course at Kapalua, Kapalua, HI ,,73,7596,,
1/9/22,Sentry Tournament of Champions,8200000,258,-34,Cameron Smith,,1476000,Plantation Course at Kapalua, Kapalua, HI ,,73,7596,,
1/10/21,Sentry Tournament of Champions,6700000,267,-25,Harris English ,p,1340000,Plantation Course at Kapalua, Kapalua, HI ,,73,7596,,
1/5/20,Sentry Tournament of Champions,6700000,278,-14,Justin Thomas ,p,1340000,Plantation Course at Kapalua, Kapalua, HI ,,73,7596,,
1/6/19,Sentry Tournament of Champions,6500000,269,-23,Xander Schauffele,,1300000,Plantation Course at Kapalua, Kapalua, HI ,,73,7518,,
1/7/18,Sentry Tournament of Champions,6300000,268,-24,Dustin Johnson,,1260000,Plantation Course at Kapalua, Kapalua, HI ,,73,7452,,
1/8/17,SBS Tournament of Champions,6100000,270,-22,Justin Thomas,,1220000,Plantation Course at Kapalua, Kapalua, HI ,,73,7452,,
1/10/16,Hyundai Tournament of Champions,5900000,262,-30,Jordan Spieth,,1180000,Plantation Course at Kapalua, Kapalua, HI ,,73,7452,,
1/12/15,Hyundai Tournament of Champions,5700000,271,-21,Patrick Reed ,p,1140000,Plantation Course at Kapalua, Kapalua, HI ,,73,7452,,
1/6/14,Hyundai Tournament of Champions,5700000,273,-19,Zach Johnson,,1140000,Plantation Course at Kapalua, Kapalua, HI ,,73,7452,,
1/7/13,Hyundai Tournament of Champions,5700000,203,-16,Dustin Johnson,,1140000,Plantation Course at Kapalua, Kapalua, HI ,,73,7452,,
1/9/12,Hyundai Tournament of Champions,5600000,269,-23,Steve Stricker,,1120000,Plantation Course at Kapalua, Kapalua, HI ,,73,7411,,
1/9/11,Hyundai Tournament of Champions,5600000,268,-24,Jonathan Byrd ,p,1120000,Plantation Course at Kapalua, Kapalua, HI ,,73,7411,,
1/10/10,SBS Championship,5600000,270,-22,Geoff Ogilvy,,1120000,Plantation Course at Kapalua, Kapalua, HI ,,73,7411,,
1/11/09,Mercedes-Benz Championship,5600000,268,-24,Geoff Ogilvy,,1120000,Plantation Course at Kapalua, Kapalua, HI ,,73,7411,,
1/6/08,Mercedes-Benz Championship,5500000,274,-18,Daniel Chopra ,p,1100000,Plantation Course at Kapalua, Kapalua, HI ,,73,7411,,
1/7/07,Mercedes-Benz Championship,5500000,278,-14,Vijay Singh,,1100000,Plantation Course at Kapalua, Kapalua, HI ,,73,7411,,
1/8/06,Mercedes Championships,5400000,284,-8,Stuart Appleby ,p,1080000,Plantation Course at Kapalua, Kapalua, HI ,,73,7411,,
1/9/05,Mercedes Championships,5300000,271,-21,Stuart Appleby,,1060000,Plantation Course at Kapalua, Kapalua, HI ,,73,7263,,
1/11/04,Mercedes Championships,5300000,270,-22,Stuart Appleby,,1060000,Plantation Course at Kapalua, Kapalua, HI ,,73,7263,,
1/12/03,Mercedes Championships,5000000,261,-31,Ernie Els,,1000000,Plantation Course at Kapalua, Kapalua, HI ,,73,7263,,
1/6/02,Mercedes Championships,4000000,274,-18,Sergio Garcia ,p,720000,Plantation Course at Kapalua, Kapalua, HI ,,73,7263,,
1/14/01,Mercedes Championships,3500000,274,-18,Jim Furyk,,630000,Plantation Course at Kapalua, Kapalua, HI ,,73,7263,,
1/9/00,Mercedes Championships,2900000,276,-16,Tiger Woods ,p,522000,Plantation Course at Kapalua, Kapalua, HI ,,73,7263,,
1/10/99,Mercedes Championships,2600000,266,-26,David Duval,,468000,Plantation Course at Kapalua, Kapalua, HI ,,73,7263,,
