,"year","rank","player_name","rounds","three_putt_percent","total_3_putts","total_holes"
376,1994,"
        5","
Gil Morgan
",65,1.62,19,1170
377,1994,"
        6","
Morris Hatalsky
",76,1.68,23,1368
378,1994,"
        7","
John Huston
",84,1.79,27,1512
379,1994,"
        8","
Jay Haas
",102,1.96,36,1836
380,1994,"
        9","
Kenny Perry
",99,2.02,36,1782
381,1994,"
        10","
Chip Beck
",86,2.07,32,1548
382,1994,"
        11","
Blaine McCallister
",95,2.11,36,1710
383,1994,"
        12","
Craig Parry
",62,2.15,24,1116
384,1994,"
        13","
Donnie Hammond
",83,2.21,33,1494
385,1994,"
        14","
Larry Mize
",75,2.22,30,1350
386,1994,"
        T15","
Hale Irwin
",74,2.25,30,1332
387,1994,"
        T15","
Steve Lowery
",94,2.25,38,1692
388,1994,"
        17","
Scott Verplank
",64,2.26,26,1152
389,1994,"
        T18","
Mark Brooks
",112,2.28,46,2016
390,1994,"
        T18","
Kirk Triplett
",90,2.28,37,1620
391,1994,"
        20","
Brad Faxon
",92,2.29,38,1656
392,1994,"
        21","
Jim Furyk
",95,2.34,40,1710
393,1994,"
        22","
Ted Schulz
",78,2.35,33,1404
394,1994,"
        23","
Joe Ozaki
",61,2.37,26,1098
395,1994,"
        24","
Loren Roberts
",77,2.38,33,1386
396,1994,"
        T25","
Bob Estes
",95,2.4,41,1710
397,1994,"
        T25","
Tom Lehman
",81,2.4,35,1458
398,1994,"
        T25","
Bob Lohr
",88,2.4,38,1584
399,1994,"
        T25","
Mike Reid
",67,2.4,29,1206
400,1994,"
        29","
John Cook
",80,2.43,35,1440
401,1994,"
        T30","
Jim Gallagher Jr.
",83,2.48,37,1494
402,1994,"
        T30","
Jeff Sluman
",92,2.48,41,1656
403,1994,"
        32","
Jay Don Blake
",87,2.49,39,1566
404,1994,"
        T33","
Michael Bradley
",89,2.5,40,1602
405,1994,"
        T33","
Bob Tway
",80,2.5,36,1440
406,1994,"
        35","
Steve Pate
",93,2.51,42,1674
407,1994,"
        36","
Lee Janzen
",88,2.53,40,1584
408,1994,"
        37","
Richard Zokol
",74,2.55,34,1332
409,1994,"
        38","
Phil Mickelson
",65,2.56,30,1170
410,1994,"
        T39","
Lennie Clements
",84,2.58,39,1512
411,1994,"
        T39","
Steve Gotsche
",56,2.58,26,1008
412,1994,"
        T39","
Brian Henninger
",69,2.58,32,1242
413,1994,"
        T39","
Billy Kratzert
",69,2.58,32,1242
414,1994,"
        43","
Fred Couples
",51,2.61,24,918
415,1994,"
        44","
Scott Simpson
",70,2.62,33,1260
416,1994,"
        T45","
Bruce Fleisher
",82,2.64,39,1476
417,1994,"
        T45","
Yoshinori Mizumaki
",61,2.64,29,1098
418,1994,"
        47","
Craig Stadler
",69,2.66,33,1242
419,1994,"
        T48","
Trevor Dodds
",79,2.67,38,1422
420,1994,"
        T48","
Robert Wrenn
",52,2.67,25,936
421,1994,"
        T50","
Davis Love III
",91,2.69,44,1638
422,1994,"
        T50","
Phil Tataurangi
",66,2.69,32,1188
423,1994,"
        52","
Bill Britton
",68,2.7,33,1224
424,1994,"
        T53","
Greg Kraft
",86,2.71,42,1548
425,1994,"
        T53","
John Wilson
",84,2.71,41,1512
426,1994,"
        T55","
Russ Cochran
",94,2.72,46,1692
427,1994,"
        T55","
Scott Hoch
",94,2.72,46,1692
428,1994,"
        57","
Larry Nelson
",55,2.73,27,990
429,1994,"
        T58","
Nolan Henke
",79,2.74,39,1422
430,1994,"
        T58","
Lanny Wadkins
",67,2.74,33,1206
431,1994,"
        T60","
Billy Andrade
",87,2.75,43,1566
432,1994,"
        T60","
Steve Stricker
",93,2.75,46,1674
433,1994,"
        T62","
Wayne Grady
",56,2.78,28,1008
434,1994,"
        T62","
Pete Jordan
",88,2.78,44,1584
435,1994,"
        T62","
John Morse
",76,2.78,38,1368
436,1994,"
        T62","
Gene Sauers
",82,2.78,41,1476
437,1994,"
        66","
Mike Hulbert
",103,2.8,52,1854
438,1994,"
        T67","
Rick Fehr
",77,2.81,39,1386
