,"year","rank","player_name","rounds","putting_avg","gir_putts","greens_hit","birdie_conversion"
247,1987,"
        T68","
Bill Sander
",92,1.794,1886,1051,2.95
248,1987,"
        T71","
Brian Claar
",103,1.795,2118,1180,2.75
249,1987,"
        T71","
Brad Fabel
",73,1.795,1472,820,2.7
250,1987,"
        T73","
Buddy Gardner
",108,1.796,2349,1308,2.65
251,1987,"
        T73","
Jeff Sluman
",108,1.796,2321,1292,2.87
252,1987,"
        T73","
Howard Twitty
",94,1.796,2064,1149,2.76
253,1987,"
        T76","
Mike McCullough
",71,1.797,1502,836,2.66
254,1987,"
        T76","
Bob Murphy
",78,1.797,1583,881,2.83
255,1987,"
        T76","
Scott Simpson
",90,1.797,1944,1082,2.71
256,1987,"
        T79","
Gary Hallberg
",94,1.798,1990,1107,2.85
257,1987,"
        T79","
Mike Reid
",99,1.798,2284,1270,2.54
258,1987,"
        81","
Kenny Knox
",108,1.799,2168,1205,2.62
259,1987,"
        T82","
David Edwards
",66,1.8,1494,830,2.54
260,1987,"
        T82","
Gil Morgan
",50,1.8,1188,660,2.55
261,1987,"
        T82","
Mark O'Meara
",87,1.8,1976,1098,2.79
262,1987,"
        85","
Jodie Mudd
",97,1.801,2089,1160,2.97
263,1987,"
        T86","
Russ Cochran
",110,1.802,2508,1392,2.68
264,1987,"
        T86","
Donnie Hammond
",85,1.802,1881,1044,2.63
265,1987,"
        T86","
Sam Randolph
",78,1.802,1640,910,2.88
266,1987,"
        T89","
Mark Hayes
",104,1.803,2257,1252,2.65
267,1987,"
        T89","
Hal Sutton
",90,1.803,2101,1165,2.9
268,1987,"
        T91","
John Adams
",97,1.804,2062,1143,2.55
269,1987,"
        T91","
Bob Gilder
",101,1.804,2082,1154,2.82
270,1987,"
        T91","
Roger Maltbie
",84,1.804,1784,989,2.72
271,1987,"
        T94","
Dewey Arnette
",64,1.805,1312,727,2.68
272,1987,"
        T94","
Charles Bolling
",102,1.805,2105,1166,2.68
273,1987,"
        T94","
Rick Fehr
",62,1.805,1222,677,2.87
274,1987,"
        T94","
Tim Simpson
",110,1.805,2538,1406,2.67
275,1987,"
        T98","
Jim Carter
",98,1.807,2074,1148,2.73
