stat_id,year,player_id,events,rounds_total,rounds_measured,sg_total_avg_m,sg_total,sg_tee2green_avg_m,sg_tee2green_total,sg_putting_avg_m,sg_putting_total,sg_app_green_avg_m,sg_app_green_total,sg_off_tee_avg_m,sg_off_tee_total,sg_approach_avg_m,sg_around_green_avg_m,app_avg_proximity,app_total_distance,app_attempts,avg_score_stroke_differential,avg_score_player,avg_score_field,finish_top_10,finish_1st,finish_2nd,finish_3rd,distance_measured_avg,distance_measured_total,distance_measured_num_drives,distance_all_rank_total,distance_all_avg,distance_all_total,distance_all_num_drives,fairway_accuracy_percent,fairways_hit,fairways_possible,fairways_missed_other_percent,fairways_missed_other_total,fairways_missed_other_possible,fairways_missed_other_relative_to_par,total_putting
38,1980,1499,NULL,97,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,0,0,0,257.2,49640,193,NULL,NULL,NULL,NULL,66.72,894,1340,NULL,NULL,NULL,NULL,NULL
39,1980,1569,NULL,102,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,1,1,0,267.3,51047,191,NULL,NULL,NULL,NULL,68.49,937,1368,NULL,NULL,NULL,NULL,NULL
40,1980,1682,NULL,102,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,1,0,0,260,52515,202,NULL,NULL,NULL,NULL,69.06,982,1422,NULL,NULL,NULL,NULL,NULL
41,1980,1715,NULL,104,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,0,2,1,262.8,53621,204,NULL,NULL,NULL,NULL,62.05,901,1452,NULL,NULL,NULL,NULL,NULL
42,1980,1725,NULL,89,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,1,0,2,249.5,42160,169,NULL,NULL,NULL,NULL,75.68,943,1246,NULL,NULL,NULL,NULL,NULL
43,1980,1958,NULL,96,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,0,1,1,274.3,51839,189,NULL,NULL,NULL,NULL,54.1,719,1329,NULL,NULL,NULL,NULL,NULL
44,1980,1975,NULL,93,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,0,2,0,269.4,49025,182,NULL,NULL,NULL,NULL,61.25,795,1298,NULL,NULL,NULL,NULL,NULL
45,1980,1998,NULL,87,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,0,1,1,247,41008,166,NULL,NULL,NULL,NULL,72.4,876,1210,NULL,NULL,NULL,NULL,NULL
46,1980,2120,NULL,86,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,0,0,2,253.3,42041,166,NULL,NULL,NULL,NULL,67.67,812,1200,NULL,NULL,NULL,NULL,NULL
47,1980,2190,NULL,91,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,2,0,0,256.7,45698,178,NULL,NULL,NULL,NULL,69.47,885,1274,NULL,NULL,NULL,NULL,NULL
48,1980,1162,NULL,120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,0,0,0,256.1,59928,234,NULL,NULL,NULL,NULL,67.88,1135,1672,NULL,NULL,NULL,NULL,NULL
49,1980,1275,NULL,102,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,0,1,0,254.6,50417,198,NULL,NULL,NULL,NULL,66.2,940,1420,NULL,NULL,NULL,NULL,NULL
50,1980,1346,NULL,105,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,0,0,0,260.1,53055,204,NULL,NULL,NULL,NULL,66.55,977,1468,NULL,NULL,NULL,NULL,NULL
