winner_id,cal_year,player_id,winner,wins
507,1975,1786,Jerry McGee,1
508,1975,1815,Johnny Miller,4
509,1975,2317,Larry Ziegler,1
510,1975,2213,Lee Trevino,1
511,1975,1438,Lou Graham,1
512,1975,1350,Pat Fitzsimons,1
513,1975,1355,Raymond Floyd,1
514,1975,1753,Rik Massengale,1
515,1975,1736,Roger Maltbie,2
516,1975,1578,Tom Jenkins,1
517,1975,2256,Tom Watson,2
518,1975,2268,Tom Weiskopf,2
519,1976,1401,Al Geiberger,2
520,1976,1235,Ben Crenshaw,3
521,1976,1414,Bob Gilder,1
522,1976,2305,Bob Wynn,1
523,1976,1017,Bud Allin,1
524,1976,1045,Butch Baird,1
525,1976,1519,Dave Hill,1
526,1976,2152,Dave Stockton,1
527,1976,1436,David Graham,2
528,1976,1576,Don January,1
529,1976,1641,Gary Koch,1
530,1976,1033,George Archer,1
531,1976,1412,Gibby Gilbert,1
532,1976,1559,Hale Irwin,2
533,1976,1443,Hubert Green,3
534,1976,2118,J.C. Snead,2
535,1976,1869,Jack Nicklaus,2
536,1976,1925,Jerry Pate,2
537,1976,1556,Joe Inman,1
538,1976,1694,John Lister,1
539,1976,1815,Johnny Miller,3
540,1976,2317,Larry Ziegler,1
541,1976,1312,Lee Elder,1
542,1976,2213,Lee Trevino,1
543,1976,1793,Mac McLendon,1
544,1976,1499,Mark Hayes,2
545,1976,1355,Raymond Floyd,2
546,1976,1753,Rik Massengale,1
547,1976,1736,Roger Maltbie,1
548,1976,1633,Tom Kite,1
549,1977,1401,Al Geiberger,1
550,1977,1068,Andy Bean,1
551,1977,1878,Andy North,1
552,1977,1235,Ben Crenshaw,1
553,1977,1648,Billy Kratzert,1
554,1977,1206,Bobby Cole,1
555,1977,1690,Bruce Lietzke,2
556,1977,1305,Danny Edwards,1
557,1977,1310,Dave Eichelberger,1
558,1977,2120,Ed Sneed,1
559,1977,1641,Gary Koch,1
560,1977,1695,Gene Littler,1
561,1977,1837,Gil Morgan,1
562,1977,1744,Graham Marsh,1
563,1977,1559,Hale Irwin,3
564,1977,1443,Hubert Green,1
565,1977,1869,Jack Nicklaus,3
566,1977,1786,Jerry McGee,1
567,1977,1925,Jerry Pate,2
568,1977,2098,Jim Simons,1
569,1977,2242,Lanny Wadkins,2
570,1977,2213,Lee Trevino,1
571,1977,2195,Leonard Thompson,1
572,1977,1499,Mark Hayes,1
573,1977,1520,Mike Hill,1
574,1977,1838,Mike Morley,1
575,1977,1057,Miller Barber,1
576,1977,1355,Raymond Floyd,2
577,1977,1753,Rik Massengale,1
578,1977,1975,Tom Purtzer,1
579,1977,2256,Tom Watson,5
580,1977,2268,Tom Weiskopf,1
581,1978,1068,Andy Bean,3
582,1978,1878,Andy North,1
583,1978,1571,Barry Jaeckel,1
584,1978,2016,Bill Rogers,1
585,1978,1690,Bruce Lietzke,1
586,1978,1955,Gary Player,3
587,1978,1837,Gil Morgan,2
588,1978,1443,Hubert Green,2
589,1978,1866,Jack Newton,1
590,1978,1869,Jack Nicklaus,4
591,1978,1457,Jay Haas,1
592,1978,1502,Jerry Heard,1
593,1978,1925,Jerry Pate,1
594,1978,2098,Jim Simons,1
595,1978,1725,John Mahaffey,2
596,1978,1312,Lee Elder,2
597,1978,2213,Lee Trevino,1
598,1978,1522,Lon Hinkle,1
599,1978,1793,Mac McLendon,2
600,1978,1057,Miller Barber,1
601,1978,11421,Rod Funseth,1
602,1978,2160,Ron Streck,1
603,1978,1051,Seve Ballesteros,1
604,1978,1633,Tom Kite,1
605,1978,2256,Tom Watson,5
606,1978,2268,Tom Weiskopf,1
607,1978,1994,Victor Regalado,1
608,1979,1401,Al Geiberger,1
609,1979,1068,Andy Bean,1
610,1979,1235,Ben Crenshaw,1
611,1979,1155,Bob Byman,1
612,1979,1690,Bruce Lietzke,1
613,1979,1935,Calvin Peete,1
614,1979,2015,Chi Chi Rodriguez,1
615,1979,2159,Curtis Strange,1
616,1979,2267,D.A. Weibring,1
617,1979,1436,David Graham,1
618,1979,1346,Ed Fiori,1
619,1979,2321,Fuzzy Zoeller,2
620,1979,1837,Gil Morgan,1
621,1979,1559,Hale Irwin,1
622,1979,2225,Howard Twitty,1
623,1979,1443,Hubert Green,2
624,1979,1998,Jack Renner,1
625,1979,1786,Jerry McGee,2
626,1979,1363,John Fought,2
627,1979,1725,John Mahaffey,1
628,1979,2242,Lanny Wadkins,2
629,1979,1864,Larry Nelson,2
630,1979,2213,Lee Trevino,1
631,1979,1522,Lon Hinkle,2
632,1979,1438,Lou Graham,3
633,1979,1783,Mark McCumber,1
634,1979,1355,Raymond Floyd,1
635,1979,1051,Seve Ballesteros,1
636,1979,2256,Tom Watson,5
