win_id,cal_year,player_id,winner,wins,team_wins
419,1972,1955,Gary Player,2,NULL
420,1972,1124,Gay Brewer,1,NULL
421,1972,1033,George Archer,2,NULL
422,1972,1640,George Knudson,1,NULL
423,1972,1597,Grier Jones,2,NULL
424,1972,1099,Homero Blancas,1,NULL
425,1972,2118,J.C. Snead,1,NULL
426,1972,1869,Jack Nicklaus,7,NULL
427,1972,1502,Jerry Heard,2,NULL
428,1972,1205,Jim Colbert,1,NULL
429,1972,1573,Jim Jamieson,1,NULL
430,1972,1815,Johnny Miller,1,NULL
431,1972,2314,Kermit Zarley,0,1
432,1972,2242,Lanny Wadkins,1,NULL
433,1972,2213,Lee Trevino,4,NULL
434,1972,1438,Lou Graham,1,NULL
435,1972,1520,Mike Hill,1,NULL
436,1972,1057,Miller Barber,1,NULL
437,1972,1483,Paul Harney,1,NULL
438,1972,2268,Tom Weiskopf,1,NULL
439,1972,6306,Tony Jacklin,1,NULL
440,1973,1910,Arnold Palmer,1,NULL
441,1973,1235,Ben Crenshaw,1,NULL
442,1973,10908,Bert Greene,1,NULL
443,1973,1177,Billy Casper,2,NULL
444,1973,1274,Bob Dickson,1,NULL
445,1973,1867,Bobby Nichols,1,NULL
446,1973,1233,Bruce Crampton,4,NULL
447,1973,1017,Bud Allin,1,NULL
448,1973,2015,Chi Chi Rodriguez,1,NULL
449,1973,1519,Dave Hill,1,NULL
450,1973,2152,Dave Stockton,1,NULL
451,1973,1076,Deane Beman,1,NULL
452,1973,2120,Ed Sneed,1,NULL
453,1973,1955,Gary Player,1,NULL
454,1973,1695,Gene Littler,1,NULL
455,1973,1559,Hale Irwin,1,NULL
456,1973,1099,Homero Blancas,1,NULL
457,1973,1443,Hubert Green,2,NULL
458,1973,1869,Jack Nicklaus,7,NULL
459,1973,1205,Jim Colbert,1,NULL
460,1973,1725,John Mahaffey,1,NULL
461,1973,2060,John Schlee,1,NULL
462,1973,2064,John Schroeder,1,NULL
463,1973,1815,Johnny Miller,1,NULL
464,1973,2242,Lanny Wadkins,2,NULL
465,1973,2213,Lee Trevino,2,NULL
466,1973,1057,Miller Barber,1,NULL
467,1973,11421,Rod Funseth,1,NULL
468,1973,1007,Sam Adams,1,NULL
469,1973,2268,Tom Weiskopf,5,NULL
470,1973,1001,Tommy Aaron,1,NULL
471,1974,1401,Al Geiberger,1,NULL
472,1974,1189,Bob Charles,1,NULL
473,1974,1801,Bob Menne,1,NULL
474,1974,1867,Bobby Nichols,2,NULL
475,1974,1017,Bud Allin,2,NULL
476,1974,1519,Dave Hill,1,NULL
477,1974,2152,Dave Stockton,3,NULL
478,1974,2120,Ed Sneed,1,NULL
479,1974,1342,Forrest Fezler,1,NULL
480,1974,1955,Gary Player,3,NULL
481,1974,1559,Hale Irwin,1,NULL
482,1974,1443,Hubert Green,3,1
483,1974,1869,Jack Nicklaus,2,NULL
484,1974,1502,Jerry Heard,1,NULL
485,1974,1205,Jim Colbert,1,NULL
486,1974,1815,Johnny Miller,8,NULL
487,1974,1312,Lee Elder,1,NULL
488,1974,2213,Lee Trevino,2,NULL
489,1974,2195,Leonard Thompson,1,NULL
490,1974,1793,Mac McLendon,0,1
491,1974,1057,Miller Barber,1,NULL
492,1974,1611,Richie Karl,1,NULL
493,1974,1242,Rod Curl,1,NULL
494,1974,1275,Terry Diehl,1,NULL
495,1974,2256,Tom Watson,1,NULL
