Course_ID,Course,City,State,Country
476,Turner's Lodge,Burneyville,OK,USA
477,Angus Glen GC (South),Markham,NULL,Canada
478,Columbine CC,Littleton,CO,USA
479,Hillcrest Country Club,Kansas City,MO,USA
480,Oakdale Golf & Country Club,Ontario,NULL,Canada
9994,NULL,NULL,UT,USA
9995,NULL,NULL,AR,USA
9996,NULL,NULL,VA,USA
9997,NULL,NULL,NC,USA
9998,NULL,NULL,FL,USA
9999,NULL,NULL,LA,USA
